wordInput,actionInput
mover {direccion},mover-event {argumento}-event
por favor mover {direccion},mover-event {argumento}-event
quiero que te muevas {direccion},mover-event {argumento}-event
moverse {direccion},mover-event {argumento}-event
Â¿ podrias moverlo {direccion} ?,mover-event {argumento}-event
muevete {direccion} por favor,mover-event {argumento}-event
ve {direccion},mover-event {argumento}-event
dirigite {direccion},mover-event {argumento}-event
gira {direccion},mover-event {argumento}-event
vuleve {direccion},mover-event {argumento}-event
ir {direccion},mover-event {argumento}-event
desplazate {direccion},mover-event {argumento}-event
